,joy,hate,love,sorrow,anxiety,surprise,anger,expect
佼佼者  ,1,0,1,0,0,0,0,0
支持  ,1,0,1,0,0,0,0,1
获得  ,1,0,1,0,0,0,0,1
提高  ,1,0,1,0,0,0,0,1
主要  ,0,0,1,0,0,0,0,1
目标  ,0,0,1,0,0,0,0,1
成为  ,1,0,1,0,0,0,0,1
品牌  ,1,0,1,0,0,0,0,0
期盼  ,0,0,1,0,0,0,0,1
协助  ,0,0,1,0,0,0,0,1
主办  ,1,0,0,0,0,0,0,1
提及  ,0,0,1,0,0,0,0,1
飘逸  ,0,0,1,0,0,0,0,0
绚丽  ,0,0,1,0,0,0,0,0
华彩  ,0,0,1,0,0,0,0,0
时尚  ,1,0,1,0,0,0,0,0
潮流  ,0,0,1,0,0,0,0,1
先端  ,0,0,1,0,0,0,0,0
前沿  ,0,0,1,0,0,0,0,1
沉浸  ,1,0,1,0,1,0,0,0
激情  ,1,0,1,0,0,0,0,1
经验  ,0,0,1,0,0,0,0,0
奇想  ,0,0,1,0,0,0,0,1
热烈  ,1,0,1,0,0,0,0,0
雪白  ,0,0,1,0,0,0,0,0
灿烂  ,1,0,1,0,0,0,0,0
辉映  ,1,0,1,0,0,0,0,0
亮丽  ,0,0,1,0,0,0,0,0
风景  ,0,0,1,0,0,0,0,0
金碧辉煌  ,0,0,1,0,0,0,0,0
精彩  ,1,0,1,0,0,0,0,0
庄严  ,1,0,1,0,0,0,0,0
肃穆  ,0,0,1,1,0,0,0,0
奇迹  ,1,0,1,1,0,1,0,1
传扬  ,1,0,1,0,0,0,0,0
我愿  ,0,0,1,0,0,0,0,1
奇妙  ,1,0,1,0,0,1,0,0
勤学  ,1,0,1,0,0,0,0,0
致词  ,1,0,1,0,0,0,0,0
积极  ,1,0,1,0,0,0,0,1
投身  ,0,0,1,0,0,0,0,1
争取  ,1,0,1,0,0,0,0,1
义不容辞  ,0,0,1,0,1,0,0,0
断言  ,0,1,0,0,0,0,1,1
成批  ,1,0,1,0,0,0,0,0
杰出  ,1,0,1,0,0,0,0,0
强调  ,0,0,1,0,0,0,0,1
兢兢业业  ,1,0,1,0,0,0,0,0
复兴  ,1,0,1,0,0,0,0,1
伟大  ,1,0,1,0,0,0,0,0
繁荣  ,1,0,1,0,0,0,0,1
富强  ,1,0,1,0,0,0,0,1
考验  ,0,0,1,0,1,0,1,1
倡导  ,0,0,1,0,0,0,0,1
意义  ,1,0,1,1,0,0,0,0
价值  ,1,0,1,0,0,0,0,1
洗礼  ,1,0,1,0,0,1,0,1
崛起  ,1,0,1,0,0,0,0,1
振兴  ,1,0,1,0,0,0,0,1
知识化  ,0,0,1,0,0,0,0,0
信息化  ,0,0,1,0,0,0,0,0
改变  ,1,0,1,1,1,0,0,1
可以  ,1,0,1,0,1,0,0,1
基础  ,0,0,1,0,0,0,0,0
智能化  ,0,0,1,0,0,0,0,0
根基  ,0,0,1,0,0,0,0,0
充满  ,1,1,1,1,0,0,0,1
和谐  ,1,0,1,0,0,0,0,1
洋溢  ,1,0,1,0,0,0,0,1
互爱  ,1,0,1,0,0,0,0,0
成熟  ,1,0,1,0,0,0,0,0
变革  ,1,0,1,0,0,0,0,1
应该  ,1,0,1,0,1,0,1,1
大有作为  ,1,0,1,0,0,0,0,0
必将  ,0,0,0,0,0,0,0,1
谢谢  ,1,0,1,0,0,0,0,1
呵呵  ,1,1,1,1,0,0,0,0
僵持  ,0,1,0,0,1,0,0,0
道谢  ,1,0,1,0,1,0,0,0
一笑  ,1,0,1,0,0,0,0,0
静静  ,1,0,1,1,0,0,0,0
注视  ,0,0,1,0,0,1,0,0
惊讶  ,0,0,0,0,0,1,0,0
不解  ,0,1,0,0,1,1,1,0
不屑  ,0,1,0,1,1,0,1,0
有权  ,1,0,1,0,0,0,0,1
要求  ,0,0,1,0,0,0,0,1
明明  ,0,1,0,0,1,1,1,0
需要  ,0,0,1,1,1,0,0,1
正常  ,1,1,1,0,0,0,0,0
解决  ,1,0,1,0,1,0,0,1
热情  ,1,1,1,0,0,0,0,1
提醒  ,1,0,1,0,1,1,0,1
行了  ,1,0,0,0,0,0,0,1
商量  ,1,0,1,0,0,0,0,1
准备  ,0,0,1,0,1,0,0,1
主动  ,1,0,1,0,0,0,0,1
热心  ,0,0,1,0,0,0,0,0
冷漠  ,0,1,0,1,1,0,1,0
什么  ,0,1,0,0,1,1,1,1
也许  ,1,0,0,1,1,0,0,1
问题  ,0,1,1,0,1,1,1,0
白白  ,0,1,0,1,1,0,1,0
显摆  ,1,1,0,0,0,0,1,0
知道  ,1,0,1,0,1,0,1,1
感激  ,1,0,1,0,0,0,0,0
简单  ,1,0,1,0,1,0,0,0
帅哥  ,0,0,1,0,0,0,0,0
安心  ,1,0,1,0,0,0,0,0
奈何  ,0,1,0,0,1,0,0,0
无奈  ,0,1,0,1,1,0,0,0
身怀六甲  ,1,0,0,0,0,0,0,0
赶紧  ,0,0,0,0,1,0,0,1
感动  ,1,0,1,1,0,0,0,0
让座  ,0,0,1,0,0,0,0,0
老大爷  ,0,0,1,0,0,0,0,0
笑了  ,1,0,1,0,0,0,0,0
开心  ,1,0,1,0,0,0,0,0
缓和  ,1,0,1,0,0,0,0,0
关爱  ,1,0,1,0,0,0,0,1
小小的  ,0,0,1,1,0,0,0,0
一定  ,1,1,1,0,1,0,1,1
继续  ,1,0,1,0,1,1,0,1
传递  ,1,0,0,0,0,0,0,1
快乐  ,1,0,1,0,0,0,0,0
经典  ,0,0,1,0,0,0,0,0
关注  ,1,0,1,0,1,1,0,1
剑拔弩张  ,0,0,0,0,1,0,0,0
精彩纷呈  ,0,0,1,0,0,0,0,0
精灵  ,0,0,1,0,0,0,0,0
神品  ,0,0,1,0,0,0,0,0
骷髅  ,0,0,0,0,1,0,0,0
阴霾  ,0,1,0,1,1,0,0,0
劣势  ,0,0,0,1,1,0,0,0
连败  ,0,0,0,1,0,0,0,0
怀疑  ,0,1,0,1,1,1,1,0
韬光养晦  ,1,0,0,0,0,0,0,1
爆发  ,0,1,1,0,1,1,1,1
力不从心  ,0,0,0,1,1,0,0,0
尴尬  ,0,1,0,1,1,0,1,0
奇怪  ,0,1,0,0,1,1,1,0
阴阳怪气  ,0,1,0,0,0,0,0,0
恐怖  ,0,1,0,1,1,1,0,0
颤栗  ,0,0,1,1,1,0,0,0
驾驭  ,0,0,1,0,0,0,0,0
狂欢  ,1,0,1,0,0,0,0,0
墓地  ,0,0,0,1,0,0,0,0
天才  ,1,1,1,0,0,0,0,0
天衣无缝  ,0,0,1,0,0,0,0,0
水银  ,0,0,1,0,0,0,0,0
饱满  ,0,0,1,0,0,0,0,0
毫不费力  ,1,0,1,0,0,0,0,0
震撼  ,1,0,1,0,1,1,0,0
死亡  ,0,1,0,1,1,0,0,0
优良  ,0,0,1,0,0,0,0,0
优美  ,1,0,1,0,0,0,0,0
典雅  ,0,0,1,0,0,0,0,0
打破  ,1,1,1,1,1,1,0,0
扎实  ,1,0,1,0,0,0,0,0
唯美  ,0,0,1,1,1,0,0,0
艺术  ,0,0,1,0,0,0,0,0
独一无二  ,0,0,1,0,0,0,0,0
增强  ,1,0,1,0,0,0,0,0
著名  ,1,0,1,0,0,0,0,0
球星  ,0,0,1,0,0,0,0,0
尚佳  ,0,0,1,0,0,0,0,0
春风得意  ,1,0,0,0,0,0,0,0
卫冕  ,0,0,1,0,0,0,0,0
冠军  ,1,0,1,0,0,0,0,0
擅长  ,1,0,1,0,0,0,0,0
破绽  ,0,1,0,0,0,0,0,0
新低  ,0,1,0,0,0,0,0,0
逆转  ,1,0,1,1,0,1,0,0
好戏  ,0,0,1,0,0,0,0,0
悬念  ,0,0,1,0,1,0,0,1
夺冠  ,1,0,0,0,0,0,0,0
突破  ,1,0,1,0,0,0,0,1
照亮  ,1,0,1,0,0,0,0,0
神圣  ,1,0,1,0,0,0,0,0
偷盗  ,0,1,0,0,1,0,0,0
自满  ,0,1,0,0,0,0,0,0
冒犯  ,0,1,0,0,1,0,1,0
梦想  ,1,0,1,1,0,0,0,1
勇敢  ,1,0,1,0,0,0,0,1
无私  ,1,0,1,0,0,0,0,1
与众不同  ,1,0,1,0,0,0,0,0
契合  ,1,0,1,0,0,0,0,0
纷乱  ,0,1,0,0,1,0,1,0
战争  ,0,1,0,1,1,0,1,0
圣火  ,0,0,1,0,0,0,0,0
仇恨  ,0,1,0,0,1,0,1,0
偏见  ,0,1,0,0,0,0,1,0
盛事  ,0,0,1,0,0,0,0,0
追求  ,1,1,1,0,0,0,0,1
希特勒  ,0,1,0,0,0,0,0,0
纳粹  ,0,1,0,0,0,0,0,0
冷战  ,0,1,0,0,1,0,1,0
牺牲品  ,0,0,0,1,1,0,0,0
不堪  ,0,1,0,1,1,0,0,0
礼遇  ,0,0,1,0,0,0,0,0
大公无私  ,0,0,1,0,0,0,0,0
窃取  ,0,1,0,0,0,0,0,0
义愤  ,0,1,0,0,0,0,1,0
解救  ,1,0,1,0,0,0,0,1
困于  ,0,0,0,1,0,0,0,0
忍受  ,0,1,1,1,1,0,1,0
剧痛  ,0,1,0,1,1,0,0,0
纯洁  ,1,0,1,0,0,0,0,0
浩大  ,0,0,1,0,0,0,0,0
攻击  ,0,1,0,0,1,0,1,0
贪婪  ,0,1,0,0,1,0,1,0
压制  ,0,1,0,0,0,0,0,0
荣耀  ,1,0,1,0,0,0,0,0
急切  ,0,0,1,0,1,0,0,1
促进  ,1,0,1,0,0,0,0,1
使命  ,0,0,1,0,1,0,0,1
增进  ,1,0,1,0,0,0,0,1
光明  ,1,0,1,0,0,0,0,1
欢乐  ,1,0,1,0,0,0,0,0
和平  ,1,0,1,0,0,0,0,0
友谊  ,1,0,1,0,0,0,0,0
弘扬  ,1,0,1,0,0,0,0,0
登顶  ,1,0,1,0,0,0,0,0
深远  ,0,0,1,0,0,0,0,0
商机  ,0,0,1,0,0,0,0,0
作秀  ,0,1,0,0,0,0,0,0
熠熠生辉  ,0,0,1,0,0,0,0,0
过度  ,0,1,0,0,1,0,0,0
漠视  ,0,1,0,0,0,0,1,0
盛情  ,0,0,1,0,0,0,0,1
匮乏  ,0,1,0,1,1,0,0,0
舍不得  ,0,0,1,1,1,0,0,0
物阜  ,0,0,1,0,0,0,0,0
民丰  ,0,0,1,0,0,0,0,0
充盈  ,1,0,1,0,0,0,0,0
虚无  ,0,1,0,1,1,0,0,0
说谎  ,0,1,0,0,0,0,0,0
感情  ,0,0,1,0,0,0,0,0
充数  ,0,1,0,0,0,0,0,0
少不更事  ,0,0,0,0,1,0,0,0
真的  ,1,0,1,0,1,1,0,0
严重  ,0,1,0,1,1,0,1,0
损害  ,0,1,0,1,1,0,0,0
事故  ,0,1,0,1,1,0,0,0
导致  ,0,1,0,1,1,0,0,0
呕吐物  ,0,1,0,0,0,0,0,0
堵塞  ,0,1,0,0,0,0,0,0
窒息  ,0,1,0,1,1,0,0,0
赔偿  ,0,1,0,1,0,0,0,0
索赔  ,0,1,0,0,0,0,0,0
害人  ,0,1,0,0,0,0,0,0
不人道  ,0,1,0,0,0,0,0,0
中毒  ,0,1,0,1,1,0,0,0
酗酒  ,0,1,0,1,1,0,1,0
肇事  ,0,1,0,1,1,0,0,0
车祸  ,0,1,0,1,1,0,0,0
耿直  ,0,0,1,0,0,0,0,0
幌子  ,0,1,0,0,0,0,0,0
知音  ,0,0,1,0,0,0,0,0
陋习  ,0,1,0,0,0,0,0,0
恶习  ,0,1,0,0,1,0,1,0
助兴  ,1,0,0,0,0,0,0,0
败德  ,0,1,0,0,0,0,0,0
无知  ,0,1,0,1,1,0,1,0
盛馔  ,0,0,1,0,0,0,0,0
无辜  ,0,1,1,1,1,0,1,0
无良  ,0,1,0,0,0,0,0,0
呜呼  ,0,0,1,1,1,0,1,0
纪念  ,1,0,1,1,0,0,0,0
奢华  ,0,1,1,0,0,0,0,0
无聊  ,0,1,0,1,1,0,1,0
笑声  ,1,0,1,0,0,0,0,0
联欢  ,1,0,0,0,0,0,0,0
明星  ,0,0,1,0,0,0,0,0
邀请  ,1,0,1,0,0,0,0,1
新鲜  ,1,0,1,0,0,1,0,1
失望  ,0,1,0,1,1,0,1,0
嘈杂  ,0,1,0,0,1,0,1,0
回避  ,0,1,0,0,1,0,0,0
喜悦  ,1,0,1,0,0,0,0,0
地震  ,0,1,0,1,1,0,0,0
悲痛  ,0,0,0,1,1,0,0,0
喜庆  ,1,0,1,0,0,0,0,0
寒冬  ,0,1,0,0,1,0,0,0
哀伤  ,0,0,0,1,0,0,0,0
伤口  ,0,0,0,1,1,0,0,0
滴血  ,0,0,0,1,1,0,0,0
刻意  ,1,1,1,0,1,0,0,1
无赖  ,0,1,0,0,0,0,0,0
笑料  ,1,0,1,0,0,0,0,0
浅薄  ,0,1,0,0,1,0,0,0
宏大  ,0,0,1,0,0,0,0,0
歌舞升平  ,1,0,1,0,0,0,0,0
俗气  ,0,1,0,1,0,0,0,0
荒诞  ,0,1,0,0,0,1,1,0
可行  ,1,0,1,0,0,0,0,1
泪花  ,0,0,0,1,0,0,0,0
意愿  ,0,0,0,0,0,0,0,1
愿望  ,0,0,1,0,0,0,0,1
天价  ,0,0,0,0,1,1,0,0
也罢  ,1,1,0,1,1,0,1,1
鸦片  ,0,1,0,0,0,0,0,0
流失  ,0,1,0,1,1,0,0,0
回归  ,1,0,1,0,0,0,0,1
掠夺  ,0,1,0,0,0,0,1,0
强盗  ,0,1,0,0,0,0,0,0
抢走  ,0,1,0,1,1,0,0,0
尊重  ,1,0,1,0,0,0,0,1
爱国  ,1,0,1,0,0,0,0,0
囤积居奇  ,0,1,0,0,0,0,0,0
圈套  ,0,1,0,0,1,0,1,0
诱惑  ,1,1,1,0,1,0,1,1
团圆  ,1,0,1,0,0,0,0,0
可喜  ,1,0,1,0,0,0,0,0
好受  ,1,0,1,0,0,0,0,0
残缺  ,0,0,0,1,1,0,0,0
有价值  ,0,0,1,0,0,0,0,0
隔离  ,0,1,0,1,1,0,0,0
追讨  ,0,0,0,0,0,0,1,0
恐怕  ,0,0,0,1,1,0,1,0
威胁  ,0,1,0,1,1,0,1,0
不祥  ,0,0,0,1,1,0,0,0
黑屏  ,0,1,0,0,0,0,0,0
自愿  ,1,0,1,0,0,0,0,1
盗版  ,0,1,0,0,0,0,1,0
微妙  ,0,0,1,0,1,1,0,0
放心  ,1,0,1,0,0,0,0,0
暴露  ,0,1,0,0,1,0,1,0
监视  ,0,1,0,0,1,0,0,0
黑客  ,0,1,0,0,0,0,0,0
定时炸弹  ,0,1,0,0,1,0,0,0
恐惧  ,0,1,0,1,1,0,0,0
瘫痪  ,0,1,0,1,1,0,0,0
隐患  ,0,1,0,0,1,0,0,0
遭遇  ,0,1,0,1,1,0,0,0
自杀  ,0,0,0,1,1,1,0,0
致敬  ,0,0,1,0,0,0,0,0
坍塌  ,0,0,0,1,1,0,0,0
自责  ,0,1,0,1,1,0,1,0
当机立断  ,0,0,1,0,0,0,0,0
丧失  ,0,1,0,1,1,0,0,0
宝贵  ,1,0,1,0,0,0,0,0
出事  ,0,1,0,1,0,0,0,0
嫌疑  ,0,1,0,0,1,0,0,0
豆腐渣  ,0,1,0,0,0,0,0,0
瓜葛  ,0,1,0,0,1,0,0,0
危房  ,0,0,0,0,1,0,0,0
失误  ,0,1,0,1,1,0,0,0
有罪  ,0,1,0,1,0,0,0,0
谴责  ,0,1,0,0,0,0,1,0
无颜  ,0,0,0,1,0,0,0,0
忏悔  ,0,0,1,1,1,0,0,1
期望  ,0,0,0,0,0,0,0,1
舒服  ,1,0,1,0,0,0,0,0
推脱  ,0,1,0,0,0,0,1,0
庇护  ,0,1,1,0,1,0,0,0
天堂  ,1,0,1,1,0,0,0,0
平静  ,1,0,1,0,0,1,0,1
安宁  ,1,0,1,0,0,0,0,0
大师  ,1,0,1,0,0,0,0,0
幽默  ,1,1,1,0,0,0,0,0
泛滥  ,0,1,1,0,1,0,0,0
崇拜  ,1,0,1,0,0,0,0,0
争论  ,0,1,0,0,1,0,1,1
不以为然  ,0,1,0,0,1,0,1,0
值得  ,1,0,1,0,0,0,0,1
珍惜  ,1,0,1,0,0,0,0,1
口诛笔伐  ,0,1,0,0,0,0,0,0
认可  ,1,0,1,0,0,0,0,0
贬值  ,0,0,0,1,1,0,0,0
笑话  ,1,1,1,0,1,0,0,0
差生  ,0,1,0,0,0,0,0,0
另眼相看  ,0,1,1,0,0,0,1,0
指责  ,0,1,0,1,1,0,1,0
身陷  ,0,0,0,0,1,0,0,0
传销  ,0,1,0,0,0,0,0,0
窝点  ,0,1,0,0,0,0,0,0
压力  ,0,1,0,1,1,0,1,0
拯救  ,1,0,1,0,1,0,0,1
出走  ,0,1,0,1,1,0,0,0
思考  ,0,0,1,1,1,0,0,1
歧视  ,0,1,0,1,0,0,1,0
徘徊  ,0,0,1,0,1,0,0,1
困扰  ,0,0,0,0,1,0,1,0
难题  ,0,1,0,1,1,0,0,0
置之不理  ,0,0,0,0,0,0,1,0
强迫  ,0,1,0,1,1,0,1,0
晋级  ,1,0,1,0,0,0,0,0
加薪  ,1,0,1,0,0,0,0,1
祭礼  ,0,0,0,1,0,0,0,0
自私  ,0,1,0,0,1,0,1,0
愿意  ,1,1,1,0,1,0,0,1
指指点点  ,0,1,0,0,0,0,1,0
不思进取  ,0,0,0,0,1,0,0,0
怎么办  ,0,0,0,1,1,0,0,0
咒骂  ,0,1,0,0,0,0,1,0
居心不良  ,0,1,0,0,0,0,0,0
苦衷  ,0,0,0,1,1,0,0,0
进步  ,1,0,1,0,0,0,0,1
鼓励  ,1,0,1,0,0,0,0,1
公平  ,1,0,1,0,0,0,0,1
健康  ,1,0,1,0,0,0,0,1
好事  ,1,1,1,0,1,0,0,0
何乐而不为  ,1,0,1,0,0,0,0,0
仇视  ,0,1,0,0,0,0,0,0
难以  ,0,1,0,1,1,0,0,0
悲剧  ,0,1,0,1,1,0,0,0
恳请  ,0,0,0,0,0,0,0,1
但愿  ,0,0,0,0,0,0,0,1
糟糕  ,0,1,0,1,1,0,1,0
不幸  ,0,0,0,1,1,0,0,0
雨雪  ,0,0,0,0,1,0,0,0
冷空气  ,0,1,0,0,1,0,0,0
侵袭  ,0,1,0,0,1,0,0,0
挑战  ,1,0,1,0,1,0,0,1
影响  ,1,1,1,1,1,0,1,0
遭受  ,0,0,0,1,1,0,0,0
袭击  ,0,0,0,1,1,0,0,0
被迫  ,0,1,0,1,1,0,1,0
延误  ,0,1,0,0,1,0,0,0
揪心  ,0,0,0,1,1,0,0,0
打乱  ,0,1,0,1,1,0,0,0
停运  ,0,0,0,1,0,0,0,0
冰天雪地  ,0,1,1,0,1,0,0,0
千方百计  ,0,0,1,0,1,0,0,1
冰雪  ,0,1,0,0,0,0,0,0
等待  ,0,0,1,0,1,0,0,1
灾害  ,0,1,0,1,1,0,0,0
暴雪  ,0,0,0,1,0,0,0,0
齐心协力  ,1,0,1,0,0,0,0,0
晕倒  ,0,0,0,1,1,0,1,0
冻灾  ,0,0,0,1,0,0,0,0
天灾  ,0,1,0,1,1,0,0,0
人祸  ,0,1,0,0,0,0,0,0
雪灾  ,0,1,0,1,1,0,0,0
后果  ,0,1,0,1,1,0,0,0
瞒报  ,0,1,0,0,0,0,0,0
误报  ,0,1,0,0,0,0,0,0
有效  ,1,0,1,0,0,0,0,0
惨重  ,0,0,0,1,1,0,0,0
痛定思痛  ,0,0,0,1,0,0,0,0
警惕  ,0,0,0,0,1,0,0,0
完善  ,1,0,1,0,0,0,0,1
风险  ,0,1,0,0,1,0,0,0
有力  ,1,0,1,0,0,0,0,0
提升  ,1,0,1,0,0,0,0,1
财富  ,1,0,1,0,0,0,0,0
灾难  ,0,1,0,1,1,0,0,0
妈妈  ,0,0,1,0,0,0,0,0
我爱  ,0,0,1,0,0,0,0,0
喜欢  ,1,0,1,0,0,0,0,0
自由  ,1,0,1,0,0,0,0,1
规定  ,0,1,0,0,0,0,1,1
追逐  ,1,0,1,0,0,0,1,1
打闹  ,1,1,1,0,1,0,0,0
考虑  ,1,0,1,0,1,0,0,1
危险  ,0,1,0,1,1,0,1,0
适宜  ,1,0,1,0,0,0,0,0
剧烈  ,0,1,0,0,1,1,0,0
毕竟  ,1,0,1,1,1,0,0,1
嬉戏  ,1,0,1,0,0,0,0,0
制止  ,1,1,0,0,0,0,1,1
乱跑  ,0,1,0,0,0,0,1,0
惩罚  ,0,1,0,1,1,0,1,0
依然  ,1,1,1,1,0,0,1,1
可能  ,1,0,1,0,1,0,0,1
为了  ,0,0,1,1,1,1,0,1
安全  ,1,0,1,0,1,0,0,1
剥夺  ,0,1,0,1,0,0,1,0
权利  ,1,0,1,0,0,0,0,0
仔细  ,1,0,1,0,0,0,0,1
寻找  ,0,0,1,0,1,0,0,1
找到  ,1,0,1,0,0,0,0,1
善于  ,1,0,1,0,0,0,0,0
发现  ,1,0,1,0,0,1,0,1
小小  ,0,0,1,1,0,0,0,0
科学家  ,0,0,1,0,0,0,0,0
来劲  ,1,0,1,0,1,0,0,0
黑乎乎  ,0,1,0,0,0,0,0,0
哈哈  ,1,0,1,0,0,0,0,0
原来  ,1,0,1,0,0,1,1,0
一起  ,1,0,1,0,0,0,0,1
毛茸茸  ,0,0,1,0,0,0,0,0
忘记  ,1,1,0,1,1,0,1,1
怎么  ,0,1,0,1,1,1,1,1
评定  ,0,0,1,0,0,0,0,0
什么的  ,0,1,0,0,0,0,0,0
意犹未尽  ,1,0,1,0,1,0,0,0
回应  ,1,0,1,0,0,0,0,1
破坏  ,0,1,0,1,1,0,1,0
问我  ,0,0,0,0,0,1,0,1
为什么  ,0,0,0,1,1,1,1,1
这么  ,0,0,0,0,1,1,1,0
发火  ,0,0,0,0,0,0,1,0
天天  ,1,0,0,0,0,0,0,0
细腻  ,0,0,1,0,0,0,0,0
敏感  ,0,1,1,1,1,0,0,0
试探  ,0,0,0,0,1,0,0,0
关心  ,1,0,1,0,1,0,0,1
幸福  ,1,0,1,0,0,0,0,0
爱我  ,1,0,1,0,0,0,0,0
喜欢我  ,1,0,1,0,0,0,0,0
纯真  ,1,0,1,0,0,0,0,0
由衷  ,1,0,1,0,0,0,0,0
受到  ,1,0,0,1,1,0,1,0
后悔  ,0,1,0,1,1,0,1,0
愧疚  ,0,1,1,1,1,0,0,0
失态  ,0,1,0,1,1,0,1,0
缺乏  ,0,1,0,1,1,0,1,0
忧伤  ,0,0,0,1,1,1,0,0
欢笑  ,1,0,1,0,0,0,0,0
我能  ,1,0,0,0,0,0,0,0
控制  ,1,0,1,0,1,0,1,1
天国  ,1,0,1,1,0,0,0,0
孤单  ,0,1,0,1,1,0,0,0
祈祷  ,1,0,1,0,0,0,0,1
奢望  ,0,0,0,1,1,0,1,1
痛苦  ,0,1,0,1,1,0,1,0
狂喜  ,1,0,0,0,0,0,0,0
黑心  ,0,1,0,0,0,0,1,0
可惜  ,0,0,0,1,1,0,1,0
祈求  ,0,0,0,0,0,0,0,1
善良  ,1,0,1,0,0,0,0,1
相信  ,1,0,1,0,1,1,0,1
满意  ,1,0,1,0,0,0,0,0
灾区  ,0,0,0,1,1,0,0,0
理想  ,1,0,1,0,0,0,0,1
胜利  ,1,0,1,0,0,0,0,1
康复  ,1,0,1,0,0,0,0,0
紧迫  ,0,0,0,0,1,0,0,0
恐惧感  ,0,0,0,0,1,0,0,0
庆幸  ,1,0,1,1,0,0,0,0
可怕  ,0,1,0,1,1,1,0,0
噩梦  ,0,1,0,1,1,0,0,0
创伤  ,0,1,0,1,1,0,0,0
伤痛  ,0,0,0,1,1,0,1,0
紧张  ,0,0,1,1,1,0,0,0
难言  ,0,0,0,0,1,0,0,0
乐观  ,1,0,1,0,0,0,0,1
未来  ,0,0,0,0,0,0,0,1
急需  ,0,0,0,0,1,0,0,1
负面  ,0,1,0,1,0,0,0,0
难以预料  ,0,0,0,1,1,0,0,0
后遗症  ,0,0,0,1,1,0,0,0
黑暗  ,0,1,0,1,1,0,0,0
辛苦  ,0,1,1,1,1,0,0,0
劳累  ,0,1,0,1,1,0,1,0
夹击  ,0,1,0,0,0,0,0,0
不堪设想  ,0,0,0,0,1,1,0,0
重生  ,1,0,1,0,0,0,0,1
放弃  ,0,1,0,1,1,0,1,1
伤害  ,0,1,0,1,1,0,1,0
人性化  ,0,0,1,0,0,0,0,0
垮塌  ,0,0,0,1,1,1,0,0
壮烈  ,0,0,1,1,0,0,0,0
牺牲  ,0,0,1,1,1,0,0,0
泣不成声  ,0,0,0,1,0,0,0,0
获救  ,1,0,0,0,0,0,0,0
离开  ,0,1,0,1,1,0,0,0
哭泣  ,0,0,0,1,1,0,0,0
境界  ,0,0,1,0,0,0,0,0
记住  ,1,0,1,0,0,0,0,1
天真  ,1,0,1,0,0,0,0,1
毁灭  ,0,0,0,1,1,0,0,0
